mean_mag mag_bin_centre luminosity_function no_galaxies V5 V6 V7 V8 V9
0 -25.975 0 0 0 0 0 0 0
0 -25.925 0 0 0 0 0 0 0
0 -25.875 0 0 0 0 0 0 0
0 -25.825 0 0 0 0 0 0 0
0 -25.775 0 0 0 0 0 0 0
0 -25.725 0 0 0 0 0 0 0
0 -25.675 0 0 0 0 0 0 0
0 -25.625 0 0 0 0 0 0 0
0 -25.575 0 0 0 0 0 0 0
0 -25.525 0 0 0 0 0 0 0
0 -25.475 0 0 0 0 0 0 0
0 -25.425 0 0 0 0 0 0 0
0 -25.375 0 0 0 0 0 0 0
-25.312 -25.325 8.1527e-07 1 0 0 0 2.4903e-06 0
0 -25.275 0 0 0 0 0 0 0
-25.23 -25.225 7.7021e-07 1 0 0 0 0 1.2099e-06
0 -25.175 0 0 0 0 0 0 0
0 -25.125 0 0 0 0 0 0 0
0 -25.075 0 0 0 0 0 0 0
0 -25.025 0 0 0 0 0 0 0
0 -24.975 0 0 0 0 0 0 0
-24.923 -24.925 6.8215e-07 1 0 0 0 0 1.2099e-06
0 -24.875 0 0 0 0 0 0 0
-24.823 -24.825 6.6175e-07 1 0 0 0 0 1.2099e-06
0 -24.775 0 0 0 0 0 0 0
-24.711 -24.725 6.4501e-07 1 0 0 0 0 1.2099e-06
-24.657 -24.675 6.3706e-07 1 0 0 0 0 1.2099e-06
-24.64 -24.625 6.3035e-07 1 0 0 0 1.7893e-06 0
0 -24.575 0 0 0 0 0 0 0
0 -24.525 0 0 0 0 0 0 0
0 -24.475 0 0 0 0 0 0 0
0 -24.425 0 0 0 0 0 0 0
0 -24.375 0 0 0 0 0 0 0
-24.319 -24.325 5.9775e-07 1 0 0 0 1.7893e-06 0
0 -24.275 0 0 0 0 0 0 0
0 -24.225 0 0 0 0 0 0 0
0 -24.175 0 0 0 0 0 0 0
0 -24.125 0 0 0 0 0 0 0
0 -24.075 0 0 0 0 0 0 0
0 -24.025 0 0 0 0 0 0 0
0 -23.975 0 0 0 0 0 0 0
0 -23.925 0 0 0 0 0 0 0
0 -23.875 0 0 0 0 0 0 0
0 -23.825 0 0 0 0 0 0 0
0 -23.775 0 0 0 0 0 0 0
-23.745 -23.725 5.6331e-07 1 0 0 0 1.7893e-06 0
0 -23.675 0 0 0 0 0 0 0
0 -23.625 0 0 0 0 0 0 0
0 -23.575 0 0 0 0 0 0 0
-23.501 -23.525 5.5699e-07 1 0 0 3.1102e-06 0 0
0 -23.475 0 0 0 0 0 0 0
